City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Port Blair,IN,11.6667,92.75,81.34,81,47,8.01,scattered clouds
229,Cabinda,AO,-5.55,12.2,84.34,70,20,8.05,few clouds
230,Pangnirtung,CA,66.1451,-65.7125,32.0,100,90,0.0,mist
231,Vyartsilya,RU,62.1764,30.693,42.17,97,100,9.98,overcast clouds
232,Piterka,RU,50.6803,47.4454,43.83,42,100,9.98,overcast clouds
233,Kieta,PG,-6.2167,155.6333,80.69,80,63,5.95,broken clouds
234,Nome,US,64.5011,-165.4064,19.47,74,90,0.0,overcast clouds
235,Fort-Shevchenko,KZ,44.5086,50.263,53.13,80,100,15.32,overcast clouds
236,Carbonia,IT,39.1672,8.5222,63.55,72,100,3.76,overcast clouds
237,Salalah,OM,17.0151,54.0924,80.69,78,40,6.91,scattered clouds
238,Linxia,CN,35.6003,103.2064,48.54,55,100,2.91,overcast clouds
239,Batemans Bay,AU,-35.7167,150.1833,62.1,63,87,5.37,overcast clouds
240,Villa Del Rosario,CO,7.8339,-72.4742,82.78,54,40,20.71,scattered clouds
241,Luena,AO,-11.7833,19.9167,70.41,75,98,3.22,overcast clouds
242,Nizhniye Sergi,RU,56.6614,59.3033,35.74,96,100,13.35,overcast clouds
243,Mahebourg,MU,-20.4081,57.7,75.49,69,40,8.05,scattered clouds
244,Zhanaozen,KZ,43.3,52.8,45.23,38,1,10.22,clear sky
245,Thompson,CA,55.7435,-97.8558,39.36,93,90,6.91,overcast clouds
246,Mana,GF,5.6592,-53.7767,86.79,61,59,8.55,broken clouds
247,Caceres,ES,39.522,-6.3748,70.81,29,84,9.26,broken clouds
248,Muros,ES,42.7762,-9.0603,65.23,92,100,25.86,moderate rain
249,Kaitangata,NZ,-46.2817,169.8464,49.66,95,94,2.33,overcast clouds
250,Hovd,MN,48.0056,91.6419,37.36,48,64,4.97,broken clouds
251,Longyearbyen,SJ,78.2186,15.6401,17.44,79,0,9.22,clear sky
252,Ambilobe,MG,-13.2,49.05,76.19,80,92,7.34,light rain
253,Saskylakh,RU,71.9167,114.0833,-1.75,98,100,5.41,overcast clouds
254,College,US,64.8569,-147.8028,24.75,83,90,0.0,light snow
255,Deputatskiy,RU,69.3,139.9,4.08,98,100,0.54,overcast clouds
256,Makakilo City,US,21.3469,-158.0858,73.72,88,75,4.61,broken clouds
257,Esperance,AU,-33.8667,121.9,51.64,64,98,8.48,overcast clouds
258,Hilpoltstein,DE,49.19,11.1886,48.88,97,7,4.18,clear sky
259,Jabinyanah,TN,35.035,10.9081,75.0,63,2,14.36,clear sky
260,Marsala,IT,37.7966,12.4352,69.75,83,20,9.22,few clouds
261,Durusu,TR,41.3053,28.6767,57.83,69,94,17.0,overcast clouds
262,Mananara,MG,-16.1667,49.7667,72.5,92,55,3.87,light rain
263,Airai,TL,-8.9266,125.4092,63.5,92,96,1.16,overcast clouds
264,Olinda,BR,-8.0089,-34.8553,83.93,61,40,13.8,scattered clouds
265,Upernavik,GL,72.7868,-56.1549,19.26,63,44,5.75,scattered clouds
266,Aden,YE,12.7794,45.0367,85.62,51,5,6.85,clear sky
267,Marsa Matruh,EG,31.3525,27.2453,73.06,79,22,8.37,few clouds
268,Kaspiyskiy,RU,45.3929,47.3707,53.38,84,100,7.38,overcast clouds
269,Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,13.8,scattered clouds
270,Basco,PH,20.4487,121.9702,79.16,68,66,21.54,broken clouds
271,Tocopilla,CL,-22.092,-70.1979,70.7,61,16,7.54,few clouds
272,Berlevag,NO,70.8578,29.0864,28.4,80,100,9.22,light shower snow
273,Cabo San Lucas,MX,22.8909,-109.9124,81.52,62,3,3.11,clear sky
274,Jawhar,SO,2.7809,45.5005,77.97,75,62,8.16,moderate rain
275,Broome,US,42.2506,-75.833,55.83,81,0,3.71,clear sky
276,Koutsouras,GR,35.0339,25.9469,68.11,66,35,12.68,scattered clouds
277,Yar-Sale,RU,66.8333,70.8333,21.49,95,100,17.98,snow
278,Ouallam,NE,14.3188,2.0866,99.09,16,50,5.91,scattered clouds
279,Puerto Cabezas,NI,14.0351,-83.3888,85.96,74,40,4.61,scattered clouds
280,Rosario,AR,-32.9468,-60.6393,96.58,27,0,1.01,clear sky
281,Moose Factory,CA,51.2585,-80.6094,39.2,81,1,4.61,clear sky
282,Miri,MY,4.4148,114.0089,75.34,100,40,8.05,scattered clouds
283,Camacha,PT,33.0833,-16.3333,71.53,68,20,11.5,few clouds
284,Araouane,ML,18.9048,-3.5265,97.93,12,40,7.63,scattered clouds
285,Pryozerne,UA,45.2698,36.3303,47.98,70,55,5.3,broken clouds
286,Bilibino,RU,68.0546,166.4372,-21.03,98,6,3.56,clear sky
287,Hami,CN,42.8,93.45,51.4,33,60,4.21,broken clouds
288,Ombessa,CM,4.603,11.2565,75.16,92,58,5.26,moderate rain
289,Latehar,IN,23.75,84.5,66.54,72,69,2.75,broken clouds
290,Shingu,JP,33.7333,135.9833,53.67,82,0,7.11,clear sky
291,Mayo,US,38.8876,-76.5119,64.74,76,1,4.0,clear sky
292,Dong Hoi,VN,17.4833,106.6,71.83,92,100,8.05,overcast clouds
293,San Cristobal,VE,7.7669,-72.225,77.18,62,62,6.29,broken clouds
294,Isangel,VU,-19.55,169.2667,75.33,89,2,9.01,clear sky
295,Mumford,GH,5.2618,-0.759,81.34,75,15,7.38,few clouds
296,Hervey Bay,AU,-25.2986,152.8535,75.04,81,0,16.08,clear sky
297,Portland,US,45.5234,-122.6762,63.63,91,90,3.0,overcast clouds
298,Montrose,US,38.4166,-108.2673,34.74,47,0,4.03,clear sky
299,Barcelos,PT,41.5388,-8.6151,66.92,73,100,13.22,overcast clouds
300,El Jicaro,GT,14.9167,-89.9,87.33,63,34,1.66,scattered clouds
301,Samarai,PG,-10.6167,150.6667,81.79,81,72,11.03,broken clouds
302,Dawlatabad,AF,36.4141,64.9053,49.66,59,25,6.6,scattered clouds
303,Salas,ES,43.4118,-6.2602,67.35,42,100,1.54,overcast clouds
304,Muroto,JP,33.2833,134.15,63.79,64,0,22.28,clear sky
305,Coatesville,US,39.9832,-75.8238,62.02,71,1,3.0,clear sky
306,Coihaique,CL,-45.5752,-72.0662,60.75,44,40,6.91,scattered clouds
307,Strausberg,DE,52.5786,13.8874,59.95,64,13,7.58,few clouds
308,Fort Frances,CA,48.5999,-93.4003,44.82,71,90,3.44,light rain
309,Marawi,PH,7.9986,124.2928,68.65,95,61,1.59,broken clouds
310,Tuatapere,NZ,-46.1333,167.6833,48.56,93,3,2.75,clear sky
311,Luderitz,NA,-26.6481,15.1594,64.11,74,2,11.54,clear sky
312,Padang,ID,-0.9492,100.3543,78.85,84,100,3.76,moderate rain
313,Kirchhundem,DE,51.1,8.1,56.61,38,0,6.11,clear sky
314,Maningrida,AU,-12.0667,134.2667,81.68,77,24,5.53,few clouds
315,Tibu,CO,8.639,-72.7358,90.68,50,82,2.24,broken clouds
316,Sinait,PH,17.8664,120.4583,75.15,78,1,6.24,clear sky
317,Waingapu,ID,-9.6567,120.2641,81.18,79,17,4.65,few clouds
318,Odweyne,SO,9.4092,45.064,76.03,34,0,10.78,clear sky
319,Piranshahr,IR,36.701,45.1413,49.93,54,90,1.54,overcast clouds
320,Wucheng,CN,29.6008,118.175,60.17,90,91,1.7,overcast clouds
321,Erzin,TR,36.9559,36.2,63.32,66,79,4.12,broken clouds
322,Guymon,US,36.6828,-101.4816,53.62,37,1,20.71,clear sky
323,Bitung,ID,1.4451,125.1824,77.85,82,13,3.0,light rain
324,Rapid Valley,US,44.0625,-103.1463,50.63,40,1,1.01,clear sky
325,Dalianwan,CN,39.0286,121.695,51.84,93,100,2.24,mist
326,Sorland,NO,67.667,12.6934,48.06,86,98,20.58,overcast clouds
327,Nanortalik,GL,60.1432,-45.2371,37.2,65,77,4.99,broken clouds
328,Bayevo,RU,53.2833,80.7667,32.34,39,72,10.29,broken clouds
329,Brainerd,US,46.358,-94.2008,46.69,93,90,3.44,light rain
330,Puerto Leguizamo,CO,-0.1934,-74.7819,85.46,57,91,3.65,overcast clouds
331,Aksu,CN,41.1231,80.2644,52.47,35,100,1.95,overcast clouds
332,Marienburg,PL,54.0359,19.0266,53.89,77,95,7.78,overcast clouds
333,Grants Pass,US,42.439,-123.3284,55.9,94,75,0.0,broken clouds
334,Villa Carlos Paz,AR,-31.4241,-64.4978,91.06,35,1,11.01,clear sky
335,Souillac,MU,-20.5167,57.5167,75.58,69,40,8.05,scattered clouds
336,Kalakamati,BW,-20.5929,27.3121,77.99,37,71,15.68,broken clouds
337,San Juan,AR,-31.5375,-68.5364,92.95,14,67,7.94,broken clouds
338,Sistranda,NO,63.7256,8.834,51.91,80,99,8.43,overcast clouds
339,Cayenne,GF,4.9333,-52.3333,89.64,75,0,4.0,clear sky
340,Dubbo,AU,-32.25,148.6167,62.73,67,100,8.05,overcast clouds
341,Santa Cruz,BO,-17.8,-63.1667,93.25,40,8,11.5,clear sky
342,Fonte Boa,BR,-2.4959,-66.2662,80.49,84,93,0.47,overcast clouds
