City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
662,Labrea,BR,88.02,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
665,Sur,OM,79.7,clear sky,22.5667,59.5289,Sur Plaza Hotel
666,Boueni,YT,80.58,few clouds,-12.9025,45.0761,The feet in water
667,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
668,Shirgaon,IN,79.86,light rain,19.7,72.7,"Samarth Krupa Farm, Palghar"
670,Turan,VN,78.85,broken clouds,16.0678,108.2208,Sun River Hotel
674,Minas,UY,86.47,clear sky,-34.3759,-55.2377,Hotel Minas
676,Sabana De Torres,CO,88.41,broken clouds,7.3915,-73.4957,Hotel el Milagro
677,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
678,Nacala,MZ,77.74,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
680,Sabha,LY,82.42,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
684,Champerico,GT,89.76,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
697,Bosaso,SO,82.24,clear sky,11.2842,49.1816,Red Sea Hotel
